,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Procter & Gamble
4.2",Data Scientist - IT,Mumbai,"Job Location Mumbai

Job Description

About the Role:
Are you inspired by invention?
Is problem solving through teamwork in your DNA?
Do you like the idea of seeing how your work impacts the bigger picture?
Do you have passion to transform P&G while enabling better decision-making through advanced analytics and machine learning?
Do you enjoy enhancing business results and improving consumer's lives every single day?
If yes, Join P&G: we offer you a career in Information Technology, starting as Data Scientist in Mumbai.
We are a smart team of doers that work passionately to apply cutting edge advances in Data science and software to solve real-world challenges that will transform our customers’ and consumer’s experiences in ways we can’t even imagine yet. We invent new improvements every day.

Key job responsibilities - This role will be responsible for:
Get hands-on into the details on Data Science, using state-of-the-art artificial intelligence, big data platforms and data visualization to discover solutions to problems requiring tremendous creativity. Partner with business leaders to fully understand the problem, and data engineers to automate & deploy your models into applications providing prescriptions to Sales and Marketing executives - that allow P&G to serve consumers worldwide in a better way.
You will analyze and model on big datasets – translating trillion’s daily consumer touchpoints and billions of consumers' behaviors to actionable recommendations
Active Collaboration across Business Teams.
Thinking Big and generating ideas with the Data Science team and stakeholders
Working with customers and cross-functional stakeholder teams to identify, disambiguate, and define problems
Scoping long-term solutions as a series of smaller, more manageable iterations.
Creating data science architectures and building scalable solutions.
Running simulations, measuring performance, building ML models, and designing optimization algorithms
Supporting existing models, while thinking about next generation solutions

About P&G IT:
Information Technology (IT) uses information and business knowledge to craft innovative solutions that change the way P&G runs business. IT in P&G is now assimilated into each and every business process, creating significant value through Digital Disruptions and Transformations. The broader IT team is sub-divided into Sales IT, Plant IT, Consumer IT, Data Science and Analytics, Data Engineering and Business Analytics, ensuring Data Driven Decision Making embeds across Sales, Marketing and Product Supply Functions. A career in IT with us will build your ownership and influencing skills and will provide you a breadth of experiences across multiple businesses, and depth of expertise.

P&G Equality and Inclusion:
We are an equal opportunity employer and value diversity at our company. Our mission of diversity and inclusion is: “Everyone valued. Everyone included. Everyone performing at their peak”.

Our Motto:
We are a PVP (Purpose, Value and Principles) driven company, and Doing The Right Thing is at the heart of all our Business Actions.

Job Qualifications

What we are looking for:
2+ years of experience using scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R, SAS, Matlab, etc.)
You have a deep understanding of Statistics and Machine Learning, Optimization, and other advanced analytical models – and how to apply to real world problems
You have a master’s degree or PhD in a quantitative / computational field (Operation Research, Computer Science, Engineering, Applied Math, Statistics, Analytics, Data Science, Life-science, Physics etc.)
You are proud to write solid code. Python and Spark are favorites, not your top ones? We can teach you.
You have familiarity with beating data into submission with pandas, SQL, or Spark.
You have strong communication skills and prefer to chart your own course to get the job done.
You know how to tell a story with data.
You are curious and effective. (Sense a theme? The ability to recognize patterns is important).
You are a Prioritize, there are only so many hours in a day and your friends and family deserve some of it.
You value simplicity and understand that good enough is not a cop out.
You are creative and find that unique viewpoint to solve problems that make others run and cower.
You are collaborative in practicing Data Science as a team sport. We love to brainstorm together!
You are fluent in English (written and oral)

Good to have:
Experience with Big Data Ecosystem: Spark, MapReduce, SQL, Hive
Experience with Cloud Infrastructure: Microsoft Azure, Google Cloud Platform
Experience with Agile DevOps, Github, Jira, Confluence
Basic understanding of Business Intelligence Tools such as PowerBI, Spotfire, Tableau, etc. and/or UI frameworks (Flask, VueJS) to impress your business sponsors

Job Schedule Full time

Job Number R000068809

Job Segmentation Experienced Professionals (Job Segmentation)
Show Less
Report",₹4L - ₹6L (Glassdoor Est.),10000+ Employees,Company - Public,Manufacturing,Consumer Product Manufacturing,1837,$10+ billion (USD)
1,"Alkegen
3.4",Integration Specialist,Pune,"Job Requirements
Why work for us?
Alkegen brings together two of the world’s leading specialty materials companies to create one new, innovation-driven leader focused on battery technologies, filtration media, and specialty insulation and sealing materials. Through global reach and breakthrough inventions, we’re delivering products that enable the world to breathe easier, live greener, and go further than ever before.
With over 60 manufacturing facilities with a global workforce of over 9,000 of the industry’s most experienced talent, including insulation and filtration experts, Alkegen is uniquely positioned to help customers impact the environment in meaningful ways.
Alkegen offers a range of dynamic career opportunities with globe-spanning reach. From production operators to engineers, technicians to specialists, sales to leadership, we’re always looking for top talent ready to bring their best. Come grow with us!
Responsibilities:
The application integration specialist job responsibilities include planning, executing, and managing the integration of new applications into the existing system throughout the enterprise. However, following are some of the other common application integration specialist responsibilities:
Keep a track on integration projects and ensure that they meet business requirements and goals
Fulfil the end user requirements
Identify and resolve the system issues
Making recommendation of the integration products and services by carrying out proper research
Collaborate with the vendors to identify the features that might be of value
Work with the analysts, system designers, and business owners to lead in the integration testing phase
Communicate with the software developers and engineers to address any problem in the program logic
Checking for any issues with the operation of the new applications with the existing system software’s and applications
Improve the business process by integration
Minimizing the impact of integration on various existing processes
Evaluating the results of the integration projects and preparing reports for the same
Train the employees on new application feature
Ensure the total solution does not have any integration gaps and manage dependencies
Proactively communicate and collaborate with external and internal customers to analyse information needs and ERP functional and technical requirements and deliver appropriate artefacts on standard templates, including but not limited to Integration Plans, Process Flows, Technical Design, Solution Design, User Stories, Use Cases, GUI, Screen and Interface designs.
Requirements:
An application integration specialist must have excellent analytical and research skills. He must also be in touch with the current technologies and have a sound knowledge of the same. Following are some of the other common key skills required in an application integration specialist:
Minimum three to five years of experience of application integration using application integration suite
Java / JEE, .NET Programming, and frameworks
WebSphere integration frameworks
Extensive knowledge about event driven systems, schema, orchestration, mapping, and ESB exception handling
Knowledge about various architectures and protocols such as MOM, XSLT, SOA, UDDI, EDA, REST, XML, FTP, WSDL, ODATA, API and SOAP
Expert knowledge about secure transmissions, digital certificated, and PKI
Strong experience with data architecture and application architecture
Proven knowledge of SQL Queries
Azure SQL experience
ERP implementation experience
Experience with Microsoft Dynamics, SAP, Oracle, One Stream, and Dev Ops a plus
If you are interested in being part of a world class team here at Alkegen then we would love to hear from you.
At Alkegen, we strive every day to help people – ALL PEOPLE – breathe easier, live greener and go further than ever before. We believe that diversity and inclusion is central to this mission and to our impact. Our diverse and inclusive culture drives our growth & innovation and we nurture it by actively embracing our differences and using our varied perspectives to solve the complex challenges facing our changing and diverse world.
Employment selection and related decisions are made without regard to sex, race, ethnicity, nation of origin, religion, color, gender identity and expression, age, disability, education, opinions, culture, languages spoken, veteran’s status, or any other protected class.
Show Less
Report",₹4L - ₹6L (Glassdoor Est.),Unknown,Company - Private,Manufacturing,Health Care Products Manufacturing,2021,Unknown / Non-Applicable
2,"Alkegen
3.4",MDM and IT Shared Service Manager,Pune,"Job Requirements
Why work for us?
Alkegen brings together two of the world’s leading specialty materials companies to create one new, innovation-driven leader focused on battery technologies, filtration media, and specialty insulation and sealing materials. Through global reach and breakthrough inventions, we’re delivering products that enable the world to breathe easier, live greener, and go further than ever before.
With over 60 manufacturing facilities with a global workforce of over 9,000 of the industry’s most experienced talent, including insulation and filtration experts, Alkegen is uniquely positioned to help customers impact the environment in meaningful ways.
Alkegen offers a range of dynamic career opportunities with globe-spanning reach. From production operators to engineers, technicians to specialists, sales to leadership, we’re always looking for top talent ready to bring their best. Come grow with us!
Job Requirements:
Master Data Management Manager manages the creation, implementation, and maintenance of master data management solutions that enable users to optimize system capabilities. Oversees a team of analysts that analyze and enrich master data elements and optimize the flow of data between users and stakeholders. Being a Master Data Management Manager manages data governance and ensures data integrity by leading data management efforts across the organization.
Responsibilities:
Design and develop a framework for global Master Data standardization and governance, including owning process flows, data maps, and standard definitions for governance across a variety of cross-functional systems and processes to improve services.
Create, maintain, and deprecate item, customer, vendor, Bill of Material data in ERP Systems to facilitate smooth and accurate transaction flow through the ERP.
Ensure data quality and MDM adherence through systems & processes to ensure data integrity.
Ensure policies, procedures, and SLAs relating to corporate master data are met across business units and global support functions
Serve as the process owner for enterprise master data management processes
Lead the establishment of master data management strategy, processes and governance in support of the organization’s digital transformation
Lead the organization in defining roles and responsibilities related to master data management and ensure clear accountability for stewardship of the company’s principal master data information assets. Advocate for strong master data sponsorship
Drive definition of KPI’s and quality metrics and ensure compliance with data related policies, standards, roles and responsibilities, and management practices
Support acquisition integration initiatives through assessment of master data requirements and strategies
The position may have direct and/or dotted line reporting of data management specialists and other data specific roles
Qualifications/ Experience:
Bachelor’s degree with 5+ years’ experience in Master Data Management and ERP applications
3+ years of management experience
At least 3 years of professional experience in IT service delivery, with at least 3 years of experience working directly with business leaders
Strong business acumen; understands the key financial drivers and dynamics related to growth and an organization’s revenue goals
Working knowledge of core transactional systems such as ERP and CRM
Ability to develop long-term strategy and data maturity roadmaps
Research technology and articulate how it could enhance business capabilities and processes
Experience in defining Master Data Management strategies, implementing MDM services and capabilities, Data Modeling, Master Data Concepts & Frameworks, Process facilitation, Metadata Management, Data Governance, and Data Quality solutions
Experience in working as a Subject Matter Expert in Master Data as part of ERP
If you are interested in being part of a world class IT team here at Alkegen then we would love to hear from you.
At Alkegen, we strive every day to help people – ALL PEOPLE – breathe easier, live greener and go further than ever before. We believe that diversity and inclusion is central to this mission and to our impact. Our diverse and inclusive culture drives our growth & innovation and we nurture it by actively embracing our differences and using our varied perspectives to solve the complex challenges facing our changing and diverse world.
Employment selection and related decisions are made without regard to sex, race, ethnicity, nation of origin, religion, color, gender identity and expression, age, disability, education, opinions, culture, languages spoken, veteran’s status, or any other protected class.
Show Less
Report",₹4L - ₹6L (Glassdoor Est.),Unknown,Company - Private,Manufacturing,Health Care Products Manufacturing,2021,Unknown / Non-Applicable
3,"Alkegen
3.4",HRIS Analyst (Workday),Pune,"Job Requirements
Why work for us?
Alkegen brings together two of the world’s leading specialty materials companies to create one new, innovation-driven leader focused on battery technologies, filtration media, and specialty insulation and sealing materials. Through global reach and breakthrough inventions, we’re delivering products that enable the world to breathe easier, live greener, and go further than ever before.
With over 60 manufacturing facilities with a global workforce of over 9,000 of the industry’s most experienced talent, including insulation and filtration experts, Alkegen is uniquely positioned to help customers impact the environment in meaningful ways.
Alkegen offers a range of dynamic career opportunities with globe-spanning reach. From production operators to engineers, technicians to specialists, sales to leadership, we’re always looking for top talent ready to bring their best. Come grow with us!
Purpose of Position:
Under general direction, this position serves as a point of contact to key HR stakeholders and Centers of Excellence to design, implement and troubleshoot Workday HRIS. This role will drive HR synergies across the business by promoting automation, data integrity, system efficiencies, and reporting outputs. The HRIS Analyst will participate in a variety of system upgrades, patches, projects/implementations, troubleshooting, testing and other duties as needed or assigned.
Nature and Scope:
This position reports to HRIS Manager
Major Job Functions and Tasks:
Partner with internal and external customers to elicit requirements, design, build, test, and deploy HCM configuration changes, reports or dashboards.
Manage Workday Case Management System
Maintain and develop custom reports, worklets and dashboards.
Assist with global system administration, business process configuration and design of the primary HRIS (Workday); consisting of the following modules: HCM, Benefits (US), Talent, Recruiting, Payroll, Absence, Time Tracking and Advanced Compensation, Integration and EIB’s.
Recommend and implement policies on reporting standards and offer technical solutions to gain process efficiency and improve data integrity.
Partner with HR Stakeholders to deliver in Workday HCM system related projects, including system releases/upgrades, enhancement packages, new functionalities and process redesign.
Develop and presents HR Technology related communications and training.
Maintain existing configuration of business processes, objects, etc. associated with specific Workday functionality.
Manage various Workday modules supporting data integrations and system authentication, ensuring system stability, security compliance and expeditious resolution for high impact issues.
Assists with design and process development to ensure country-specific compliance to local regulatory standards
Assist with end-user testing and quality assurance.
Maintain and administer hierarchical structures of the system and user assignments
Help maintain data integrity in systems by proactively running and audits, and interfacing with key stakeholders to keep system cleansed
Trouble-shoot complex customer and system issues including error messages, login difficulties, access denials, data issues and process failures in Workday.

Knowledge, Skills and Abilities Needed:
Bachelor’s degree or an equivalent combination of education and experience required
3-5 years of direct Workday experience (Expertise in at least 2-3 modules), including configuring business processes, security policies, routing, calculated fields and condition rules; creating and maintaining reports; and providing customer support to managers and employees.
Strong understanding of HR and Payroll processes and data
Advanced Microsoft Office skills, with a focus on Excel and PowerPoint.
Ability to work effectively with business partners in other parts of the organization, including IT, Finance, etc.
Prior Payroll experience a plus
Experience with Global Organizations a plus
Additional:
Hours: 1:30pm -10:30pm IST, must work in the office
Travel may be required
If you are interested in being part of a world class HRIS function here at Alkegen then we would love to hear from you.
At Alkegen, we strive every day to help people – ALL PEOPLE – breathe easier, live greener and go further than ever before. We believe that diversity and inclusion is central to this mission and to our impact. Our diverse and inclusive culture drives our growth & innovation and we nurture it by actively embracing our differences and using our varied perspectives to solve the complex challenges facing our changing and diverse world.
Employment selection and related decisions are made without regard to sex, race, ethnicity, nation of origin, religion, color, gender identity and expression, age, disability, education, opinions, culture, languages spoken, veteran’s status, or any other protected class.
Show Less
Report",₹4L - ₹6L (Glassdoor Est.),Unknown,Company - Private,Manufacturing,Health Care Products Manufacturing,2021,Unknown / Non-Applicable
4,"Alkegen
3.4",Microsoft Dynamics 365 Developer,Pune,"Job Requirements
Why work for us?
Alkegen brings together two of the world’s leading specialty materials companies to create one new, innovation-driven leader focused on battery technologies, filtration media, and specialty insulation and sealing materials. Through global reach and breakthrough inventions, we’re delivering products that enable the world to breathe easier, live greener, and go further than ever before.
With over 60 manufacturing facilities with a global workforce of over 9,000 of the industry’s most experienced talent, including insulation and filtration experts, Alkegen is uniquely positioned to help customers impact the environment in meaningful ways.
Alkegen offers a range of dynamic career opportunities with globe-spanning reach. From production operators to engineers, technicians to specialists, sales to leadership, we’re always looking for top talent ready to bring their best. Come grow with us!
Job Requirements:
We are looking to hire a talented Dynamics 365 F&O and CRM Developer. As a Dynamics 365 Developer, you will be responsible for designing, building, and configuring applications to meet business process and application requirements.
Responsibilities:
Manage the change control management process of future changes, releases, updates and enhancements of the D365 environments: Production, UAT and Development.
Work with internal and external partners to develop and deploy quality enhancements in accordance with industry best practices and company processes; solutions will include D365 modifications, reporting and integrations with legacy applications.
Experience with relational Databases, SQL and Data modelling.
Experience with Azure DevOps and an understanding of source control versioning and branching.
Identify continuous improvement opportunities for assigned systems and processes.
Assist in the supporting applications, features, functions, systems and in the configuration, updates, and upgrades to D365.
Coordinate and lead user acceptance tests with the business units and end users against business requirements.
Partner with internal and external support teams to resolve any D365 issues or bugs.
Provide end user guidance, documentation and assist users with day-to-day issues, problems, and questions.
Stay abreast of D365 enhancements, adapt quickly and self-learn.
Qualifications/ Experience:
B.A. or B.S. Degree in Computer Science, IS, IT or related field, or equivalent combination of education and work experience.
5 – 7 years of total IT experience.
4 years of experience with D365 F&O (formerly AX) development.
D365 CRM Experience
Experience and understanding of Microsoft Products – PowerApps, PowerAutomate.
Knowledge of Azure Infrastructure, capabilities, and cloud basics.
Works well in team setting and individually.
Strong communication and customer service skills.
If you are interested in being part of a world class IT team here at Alkegen then we would love to hear from you.
At Alkegen, we strive every day to help people – ALL PEOPLE – breathe easier, live greener and go further than ever before. We believe that diversity and inclusion is central to this mission and to our impact. Our diverse and inclusive culture drives our growth & innovation and we nurture it by actively embracing our differences and using our varied perspectives to solve the complex challenges facing our changing and diverse world.
Employment selection and related decisions are made without regard to sex, race, ethnicity, nation of origin, religion, color, gender identity and expression, age, disability, education, opinions, culture, languages spoken, veteran’s status, or any other protected class.
Show Less
Report",₹4L - ₹6L (Glassdoor Est.),Unknown,Company - Private,Manufacturing,Health Care Products Manufacturing,2021,Unknown / Non-Applicable
5,TalentRupt,Data Engineer,Bangalore,"We are looking for Data Engineers for our client (One of the renowned MNCs) who have the following skillset: (Min 2 years of hands-on experience on skills and overall 6+ years of work experience)
PySpark or SparkSQL
Python
Data modeling
SQL Database / SQL Scripting skill
Azure Data Lake Storage (ADLS)
Azure Data Factory (ADF)
Azure Databricks
Adaptable and flexible
Ability to perform under pressure
Problem-solving skills
Prioritization of workload
Commitment to quality
Roles and Responsibilities:
In this role, you need to analyze and solve increasingly complex problems.
Your day-to-day interactions are with peers within the organization.
You are likely to have some interaction with clients and/or management.
You will be given minimal instruction on daily work/tasks and a moderate level of instructions on new assignments.
You will need to consistently seek and provide meaningful and actionable feedback in all interactions.
You will be expected to be constantly on the lookout for ways to enhance value for your respective stakeholders/clients.
Decisions that are made by you will impact your work and may impact the work of others.
You would be an individual contributor and/or oversee a small work effort and/or team.
Job Type: Full-time
Salary: ₹600,000.00 - ₹2,400,000.00 per year
Schedule:
Day shift
Ability to commute/relocate:
Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Experience:
Python: 2 years (Required)
PySpark: 2 years (Required)
Data modeling: 2 years (Required)
Azure Data Factory: 2 years (Required)
Azure Databricks: 2 years (Required)
Azure Data Lake Storage: 2 years (Required)
Total Work: 6 years (Required)
Show Less
Report",₹4L - ₹6L (Glassdoor Est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,"Alkegen
3.4",BPCS Information System Analyst,Pune,"Job Requirements
Why work for us?
Alkegen brings together two of the world’s leading specialty materials companies to create one new, innovation-driven leader focused on battery technologies, filtration media, and specialty insulation and sealing materials. Through global reach and breakthrough inventions, we’re delivering products that enable the world to breathe easier, live greener, and go further than ever before.
With over 60 manufacturing facilities with a global workforce of over 9,000 of the industry’s most experienced talent, including insulation and filtration experts, Alkegen is uniquely positioned to help customers impact the environment in meaningful ways.
Alkegen offers a range of dynamic career opportunities with globe-spanning reach. From production operators to engineers, technicians to specialists, sales to leadership, we’re always looking for top talent ready to bring their best. Come grow with us!
Role/Profile:
Alkegen is seeking an energetic and experienced Tech-functional analyst with working experience in Finance/Supply Chain Management / Manufacturing / Logistics modules of Infor BPCS/LX
This role will support and successful execution of IT business application projects in a fast-paced and highly cross-functional environment.
This role will be responsible for leading efficient delivery of business-driven projects and day-to-day support of application portfolio.
This role will require a blend of business acumen, relationship management business process understanding, project planning, project execution, and application maintenance skills and experience.
Duties and Responsibilities:
Resolves issues, answers user questions, and works on enhancements.
Work with outside BPCS support group when necessary.
Tests upgrades and patches. Document current procedures.
Diagnosis issue with current custom code Perform BPCS ERP system administration functions.
Must be able to multitask multiple projects / assignments
Must be able to work off hours for implementations or support issues as needed
Provide architectural expertise, direction, and assistance to other team members and software development teams.
Establishes and manages project timelines and resources based on input from executive management.
Develop solutions on technical platforms to support business processes and initiatives.
Ability to design, develop and support highly complex programs.
Execute the implementation of long and short-term strategic and operational IT projects supporting the business operations and aligning with the organization's priorities and business needs.
Work with business stakeholders in defining, gathering and documenting business requirements
Support users in implementing features and functionality within Infor BPCS/LX ERP and related systems
Drives alignment between IT and functional business leadership, manages strategic and tactical applications needs and requirements as defined by the business.
Supports in issues resolution, designing, building, testing, implementing EDI services
Has process knowledge in all aspects of the SDLC involving requirement analysis Function as a technical liaison to the development team
Experience in Design and Implementation of various business process.
Other:
Must adhere to all company and location policies and safety rules
All other duties as assigned
Qualifications:
7+ years of relevant experience is required in BPCS/LX ERP system for all modules.
7 plus years of ERP Business Analyst and/or Functional Experience supporting an ERP
Solid Knowledge with EDI standards and message formats
Solid Knowledge of ASSET programming languages, SQL, and DB2 databases IBM iSeries/AS400 experience and proficiency
Able to lead discussions, drive to a common solution and formally present recommendations based on findings
B.A. / B.S. in IT or related field preferred
Applies strong analytical skills to resolve difficult business problems
Strong programming knowledge in RPG/LE languages and knowledge of ERP systems (BPCS/LX).
Experience with ROBOT and Forms
A solid background in project management Strong problem-solving skills Data collection experience a plus
Excellent analytical, written and oral communication skills
Strong analytical, critical thinking, and problem-solving skills.
Ability to communicate with business users in a professional and effective manner.
Competencies:
Customer Focus
Drive for Results
Creative Problem Solving
Interpersonal Relationships
Communication Accountability
If you are interested in being part of a world class IT function here at Alkegen then we would love to hear from you.
Alkegen is committed to cultivating and preserving a culture of inclusion throughout the organization. We recognize that we can learn better together with a diverse team of employees and that our individual differences, experiences, knowledge, innovation, self-expression, and talent that our employees invest in their work represents not only part of our culture, but our reputation.
Employment selection and related decisions are made without regard to sex, race, ethnicity, nation of origin, religion, color, gender identity and expression, age, disability, education, opinions, culture, languages spoken, veteran’s status, or any other protected class.
Show Less
Report",₹4L - ₹6L (Glassdoor Est.),Unknown,Company - Private,Manufacturing,Health Care Products Manufacturing,2021,Unknown / Non-Applicable
7,"Cabot
3.7",Software Engineer / Senior Software Engineer - Angular,Cochin,"We are looking for an experienced JavaScript developer who is proficient with AngularJS applications. As a Cabotian, you will be involved in all phases of the development cycle from conception to implementation.
YOUR RESPONSIBILITIES
1. Design, develop and debug apps with AngularJS
2. Ensure the performance, quality, and responsiveness of applications
3. Ability to respond to various development issues and coordinate with the stakeholders
4.Perform full life-cycle development with minimal supervision
5. Building reusable components and front-end libraries for future use
SKILLS YOU NEED
1. Ability to deliver a complete front end application using AngularJS
2. Strong proficiency in JavaScript/CSS/HTML
3. Experience with data structure libraries
4. Knowledge of code versioning tools such as Git, SVN or any modern VCS
EXPERIENCE
3-6 YEARS
Show Less
Report",₹4L - ₹6L (Glassdoor Est.),1001 to 5000 Employees,Company - Public,Manufacturing,Chemical Manufacturing,1882,Unknown / Non-Applicable
8,"Alkegen
3.4",Dynamics 365 CE Developer,Pune,"Job Requirements
Why work for us?
Alkegen brings together two of the world’s leading specialty materials companies to create one new, innovation-driven leader focused on battery technologies, filtration media, and specialty insulation and sealing materials. Through global reach and breakthrough inventions, we’re delivering products that enable the world to breathe easier, live greener, and go further than ever before.
With over 60 manufacturing facilities with a global workforce of over 9,000 of the industry’s most experienced talent, including insulation and filtration experts, Alkegen is uniquely positioned to help customers impact the environment in meaningful ways.
Alkegen offers a range of dynamic career opportunities with globe-spanning reach. From production operators to engineers, technicians to specialists, sales to leadership, we’re always looking for top talent ready to bring their best. Come grow with us!
Dynamics 365 CE Developer Responsibilities:
Deep understanding and experience using the MS D365 CE platform
Manage the change control management process of future changes, releases, updates, and enhancements of the D365 CE environments: Production, UAT and Development.
Practical experience in translating business requirements into well-architected solutions that best leverage the D365 CE platform capabilities
Ability to independently lead technical design sessions and develop detailed technical solution documentation that is aligned with current business objectives and the application landscape
Document, develop and test working solutions, integrations, and data migration elements of D365 CE applications
Demonstrable ability to leverage standard D365 features and ability to identify conditions when D365 should be customized.
Design and develop D365 components and third party integrations.
Design forms, workflow processes, web services, plugins, canvas apps, model driven apps and other components needed to meet the business requirements
Experience in building custom applications, modifications, integrations, data conversion routines, workflows, and custom reports for D365
Executing ongoing maintenance of developed systems
Experience working with data migration and data ingestion for D365
Excellent analytical, communication and technical skills combined with excellent planning and organizational skills
Prepare user manuals, system documentation and training manuals
Identify continuous improvement opportunities for assigned systems and processes.
Coordinate and lead user acceptance tests with the business units and end users against business requirements.
Provide end user guidance, documentation and assist users with day-to-day issues, problems, and questions.
Stay abreast of D365 enhancements, adapt quickly, and self-learn.
Dynamics 365 CE Developer Requirements:
B.A. or B.S. Degree in Computer Science, IS, IT (Information Technology) or related field, or equivalent combination of education and work experience.
5 – 7 years of total IT experience.
4 years of experience with D365 CE development.
D365 CRM Experience
Experience and understanding of Microsoft Products – PowerApps, Power Automate.
Knowledge of Azure Infrastructure, capabilities, and cloud basics.
Works well in team setting and individually.
Strong communication and customer service skills.
If you are interested in being part of a world class IT team here at Alkegen then we would love to hear from you.
At Alkegen, we strive every day to help people – ALL PEOPLE – breathe easier, live greener and go further than ever before. We believe that diversity and inclusion is central to this mission and to our impact. Our diverse and inclusive culture drives our growth & innovation and we nurture it by actively embracing our differences and using our varied perspectives to solve the complex challenges facing our changing and diverse world.
Employment selection and related decisions are made without regard to sex, race, ethnicity, nation of origin, religion, color, gender identity and expression, age, disability, education, opinions, culture, languages spoken, veteran’s status, or any other protected class.
Show Less
Report",₹4L - ₹6L (Glassdoor Est.),Unknown,Company - Private,Manufacturing,Health Care Products Manufacturing,2021,Unknown / Non-Applicable
9,"Alkegen
3.4",SAP ABAP Technical Analyst,Pune,"Job Requirements
Why work for us?
Alkegen brings together two of the world’s leading specialty materials companies to create one new, innovation-driven leader focused on battery technologies, filtration media, and specialty insulation and sealing materials. Through global reach and breakthrough inventions, we’re delivering products that enable the world to breathe easier, live greener, and go further than ever before.
With over 60 manufacturing facilities with a global workforce of over 9,000 of the industry’s most experienced talent, including insulation and filtration experts, Alkegen is uniquely positioned to help customers impact the environment in meaningful ways.
Alkegen offers a range of dynamic career opportunities with globe-spanning reach. From production operators to engineers, technicians to specialists, sales to leadership, we’re always looking for top talent ready to bring their best. Come grow with us!
Summary:
The SAP ABAP BW Technical Analyst will provide expertise in the development & implementation of technical specifications. The role is dedicated to support functional consultants in designing solutions for the gaps identified. The individual will understand the requirement from provided functional designs & transform these requirements into the technical designs, develop and implement program objects, perform unit testing and support other forms of testing. She/he will be a key member on SAP initiatives. A key element of this position is also ownership of the SAP support calls in order to ensure root cause analysis and continuous improvement in the resolution process
Responsibilities:
Build, modify & debug smartforms, PDF forms, complex ABAP routines, programs, Module Pools and ALV interactive reports
Assist business partners with ad-hoc queries, reports and training as needed.
Design queries in BEx Query Designer and create workbooks in the BEx analyzer using conditions, structures, calculated and restricted key figures, character variables, formula variables and text variables
Assist the SAP Functional consulting team in areas such as project execution and design & Job estimation.
Documentation of all analysis, recommendations, technical configurations & testing.
Develop code, document and execute unit tests, systems integration and acceptance tests and testing tools for functions of high complexity.
Perform performance tuning to improve performance over multiple functions.
Key Results/Essential Activities
SAP ABAP & BW development & Testing - 80%
1. Project tasks completed on time
2. Feedback from IT colleagues
SAP Support - 20%
1. # IT Service Desk resolved successfully
2. Feedback from IT colleagues and business
Qualifications (Knowledge, Skills and Abilities Needed):
Experience: 6+ years of relevant SAP ECC experience in SAP ABAP & 2+ years in SAP BW.
Expertise on enhancements such as User Exit, BADI, BAPI, BTE and interfaces ALE & IDOC
with ability to configure inbound/outbound transactions in EDI.
Worked on BW 7.01. Experience with the design and development of SAP BW applications
Experience on working with the SAP BW tools, focusing on Extraction, Transformation and Loading
of Data (ETL)
Knowledge of the SAP BW Metadata repository, concepts and OLAP functions of SAP BW Reporting
Experience on working with standard Infoproviders - InfoCubes, InfoObjects, ODS/DSO, Infoset.
Experience in creating InfoPackage to create Process chains and Scheduling of data, loading with
full/initialization/delta upload method
Experience in Reporting Agent and Web reporting/publishing using Web Application Designer &
EP.
Good object orientation experience is preferred.
Bachelor’s in Computer Science/Information Technology.
Must be able to demonstrate knowledge & experience in FI CO module and/or SD-MM modules
Knowledge of creation of SQ00 queries & LSMWs would be an added advantage.
Strong analytical aptitude. Anticipates, identifies and defines problems. Seeks root causes.
Understanding of a business environment and acumen
Exceptional written and verbal communications skills
Manufacturing & distribution industry experience is an added advantage
Additional
Ability to work UK (GMT +0) work schedule
Travel may be required
If you are interested in being part of a world class IT team here at Alkegen then we would love to hear from you.
At Alkegen, we strive every day to help people – ALL PEOPLE – breathe easier, live greener and go further than ever before. We believe that diversity and inclusion is central to this mission and to our impact. Our diverse and inclusive culture drives our growth & innovation and we nurture it by actively embracing our differences and using our varied perspectives to solve the complex challenges facing our changing and diverse world.
Employment selection and related decisions are made without regard to sex, race, ethnicity, nation of origin, religion, color, gender identity and expression, age, disability, education, opinions, culture, languages spoken, veteran’s status, or any other protected class.
Show Less
Report",₹4L - ₹6L (Glassdoor Est.),Unknown,Company - Private,Manufacturing,Health Care Products Manufacturing,2021,Unknown / Non-Applicable
