,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Cabot
3.7",Software Engineer / Senior Software Engineer - Angular,Cochin,"We are looking for an experienced JavaScript developer who is proficient with AngularJS applications. As a Cabotian, you will be involved in all phases of the development cycle from conception to implementation.
YOUR RESPONSIBILITIES
1. Design, develop and debug apps with AngularJS
2. Ensure the performance, quality, and responsiveness of applications
3. Ability to respond to various development issues and coordinate with the stakeholders
4.Perform full life-cycle development with minimal supervision
5. Building reusable components and front-end libraries for future use
SKILLS YOU NEED
1. Ability to deliver a complete front end application using AngularJS
2. Strong proficiency in JavaScript/CSS/HTML
3. Experience with data structure libraries
4. Knowledge of code versioning tools such as Git, SVN or any modern VCS
EXPERIENCE
3-6 YEARS
Show Less
Report",₹2L - ₹4L (Glassdoor Est.),1001 to 5000 Employees,Company - Public,Manufacturing,Chemical Manufacturing,1882,Unknown / Non-Applicable
1,"Alkegen
3.4",SharePoint Developer,Pune,"Job Requirements
Why work for us?
Alkegen brings together two of the world’s leading specialty materials companies to create one new, innovation-driven leader focused on battery technologies, filtration media, and specialty insulation and sealing materials. Through global reach and breakthrough inventions, we’re delivering products that enable the world to breathe easier, live greener, and go further than ever before.
With over 60 manufacturing facilities with a global workforce of over 9,000 of the industry’s most experienced talent, including insulation and filtration experts, Alkegen is uniquely positioned to help customers impact the environment in meaningful ways.
Alkegen offers a range of dynamic career opportunities with globe-spanning reach. From production operators to engineers, technicians to specialists, sales to leadership, we’re always looking for top talent ready to bring their best. Come grow with us!
Job Requirements:
We are looking to hire a talented SharePoint developer to create customized SharePoint solutions for our company. As a SharePoint developer, you will be responsible for configuring and customizing SharePoint systems according to company specifications, building scalable web applications, writing and modifying code, debugging software, and training staff.
To ensure success as a SharePoint developer, you should have extensive knowledge of SharePoint and MS Office software, proficiency with front-end programming languages, and the ability to solve complex software issues. Ultimately, a top-class SharePoint developer can create clean, scalable SharePoint websites that meet all company design and functionality requirements.
Responsibilities:
Meeting with the design team to review website and application requirements.
Setting tasks and development goals.
Configuring the company SharePoint systems to specified requirements.
Developing new web components using XML, .NET, SQL, and C#.
Designing, coding, and implementing scalable applications.
Extending SharePoint functionality with PowerApps and PowerAutomate.
Testing and debugging code.
Reviewing website interface and software stability.
Troubleshooting software issues.
Maintaining and updating SharePoint applications.
Providing systems training to staff and customers.
Qualifications/ Experience:
Bachelor’s degree in computer science or software engineering.
MOSS or WSS certification.
Previous experience as a SharePoint developer.
Extensive knowledge of C#, ASP.NET, and .NET Frameworks.
Familiarity with JavaScript, HTML5, CSS, XML, jQuery, SQL Server, and Web Services.
High-level coding skills.
Ability to solve complex software issues.
Ability to project manage.
Detail orientated.
Self-motivated.
If you are interested in being part of a world class IT team here at Alkegen then we would love to hear from you.
At Alkegen, we strive every day to help people – ALL PEOPLE – breathe easier, live greener and go further than ever before. We believe that diversity and inclusion is central to this mission and to our impact. Our diverse and inclusive culture drives our growth & innovation and we nurture it by actively embracing our differences and using our varied perspectives to solve the complex challenges facing our changing and diverse world.
Employment selection and related decisions are made without regard to sex, race, ethnicity, nation of origin, religion, color, gender identity and expression, age, disability, education, opinions, culture, languages spoken, veteran’s status, or any other protected class.
Show Less
Report",₹2L - ₹4L (Glassdoor Est.),Unknown,Company - Private,Manufacturing,Health Care Products Manufacturing,2021,Unknown / Non-Applicable
2,"Cabot
3.7",Software Engineer/Senior Software Engineer/TL - .NET,Cochin,"We are looking for an experienced .NET developer who is proficient with the languages/technologies of .NET framework. As a Cabotian, you will be involved in all phases of the development cycle from conception to implementation.
YOUR RESPONSIBILITIES
1. Design, develop and debug apps using .NET programming languages
2. Build and maintain efficient, reusable and reliable code
3. Ensure the performance, quality, and responsiveness of applications
4. Ability to respond to various development issues and coordinate with the stakeholders
5. Perform full life-cycle development with minimal supervision
SKILLES YOU NEED
1. Expert in working with .NET languages/.NET frameworks/SQL server/MVC
2. Proficient in JavaScript/CSS/HTML
3. Experience with popular web application frameworks
4. Knowledge of code versioning tools such as Git, SVN or any modern VCS
EXPERIENCE
4-6 YEARS
Show Less
Report",₹2L - ₹4L (Glassdoor Est.),1001 to 5000 Employees,Company - Public,Manufacturing,Chemical Manufacturing,1882,Unknown / Non-Applicable
3,"Cabot
3.7",Software Engineer / Senior Software Engineer - Node.js,Cochin,"We are looking for an experienced Node.js developer to join our team. As a Cabotian, you will be involved in all phases of the development cycle from conception to implementation.
YOUR RESPONSIBILITIES
1. Development of back-end logic and integrating the front-end elements into the application
2. Ensure the performance, quality, and responsiveness of applications
3. Ability to respond to various development issues and coordinate with the stakeholders
4. Perform full life-cycle development with minimal supervision
SKILLS YOU NEED
1. Strong proficiency in JavaScript/CSS/HTML
2. Thorough knowledge of Node.js and frameworks available for it
3. Basic understanding of front-end technologies
4. Knowledge of code versioning tools such as Git, SVN or any modern VCS
5. Knowledge of PHP/.NET/Wordpress will be a plus
EXPERIENCE
3-6 YEARS
Show Less
Report",₹2L - ₹4L (Glassdoor Est.),1001 to 5000 Employees,Company - Public,Manufacturing,Chemical Manufacturing,1882,Unknown / Non-Applicable
4,"Cabot
3.7",Software Engineer / Senior Software Engineer - React,Cochin,"We are looking for an experienced JavaScript developer who is proficient with React/Native. As a Cabotian, you will be involved in all phases of the development cycle from conception to implementation.
YOUR RESPONSIBILITIES
1. Design, develop and debug apps with React/React Native
2. Ensure the performance, quality, and responsiveness of applications
3. Ability to respond to various development issues and coordinate with the stakeholders
4. Perform full life-cycle development with minimal supervision
5. Building reusable components and front-end libraries for future use
SKILLS YOU NEED
1. Strong proficiency in JavaScript/CSS/HTML
2. Experience in React/React Native/Redux/ES6/Flux
3. Experience with data structure libraries
4. Knowledge of code versioning tools such as Git, SVN or any modern VCS
EXPERIENCE
3-6 YEARS
Show Less
Report",₹2L - ₹4L (Glassdoor Est.),1001 to 5000 Employees,Company - Public,Manufacturing,Chemical Manufacturing,1882,Unknown / Non-Applicable
5,"Cabot
3.7",Software Engineer/Senior Software Engineer - Testing,Cochin,"Cabot Technology Solutions is looking for a senior QA Engineer who has experience in both manual and automation testing.
YOUR RESPONSIBILITIES
1. Understand the requirements and get clarifications from the client.
2. Identification and assessment of risks.
3. Preparing test reports.
4. Test case preparation.
5. Execute tests, report bugs and follow up bugs to closure.
6. Coordinating QA activities in the project.
7. Give regular status updates.
8. Automation of regression cases.
9. Exposure in Handling multiple projects at the same time.
SKILLS YOU NEED
1. Experience in Manual and Automation testing
2. Exposure to tools & processes for testing
3. Automation experience (Selenium/Cucumber preferred)
4. Knowledge of Basic SQL
5. Knowledge of Languages Java/ C#
6. Experience in Rest API (Added Advantage)
7. Experience in Security and performance testing (Added advantage)
EXPERIENCE
4-9 YEARS
Show Less
Report",₹2L - ₹4L (Glassdoor Est.),1001 to 5000 Employees,Company - Public,Manufacturing,Chemical Manufacturing,1882,Unknown / Non-Applicable
6,JSR Dynamics Pvt Ltd,Software Engineer with Embedded / Real-Time / RTOS / MATLAB / SIMULINK,Nāgpur,"To work as an Independent contributor in a dynamic team of bright engineers developing, enhancing and maintaining Mission critical platform software.
Maintain integrity and work ethics within the team.
Experience:
3-5 years hands-on experience for Sr. Developer
1-3 years for Developer
Qualifications:
1. Strong Programming Skills(C,C++)
2. Strong RTOS concepts with experience on working with Multicore/Multi-Threading on Red Hawk RTOS(Concurrent Real Time)/Integrity GreenHills/FreeRTOS/VxWorks.
3. Experience in using embedded development tools, debuggers, JTAG and analyzers
4. Avionics knowledge/Experience is desirable.
5. In depth Knowledge of HW/CANoe / CANalysers / CANape / C / CAPL programming etc.
6. Knowledge and experience with aerospace communication protocols such as MIL-1553, RS-232/422/485,CAN, UDS ,I2C, SPI, CAN, USB, I2S is desirable.
Skills:
Embedded C,C++, RTOS, ARINC, ARINC 429, MIL standards, I2C, SPI, CAN, DMA, and POSIX
Candidates experienced in MATLAB/SIMULINK can also apply.
Job Type: Full-time
Schedule:
Morning shift
Application Deadline: 30/12/2022
Expected Start Date: 15/01/2023
Show Less
Report",₹2L - ₹4L (Glassdoor Est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7,"Alkegen
3.4",Microsoft Dynamics 365 Developer,Pune,"Job Requirements
Why work for us?
Alkegen brings together two of the world’s leading specialty materials companies to create one new, innovation-driven leader focused on battery technologies, filtration media, and specialty insulation and sealing materials. Through global reach and breakthrough inventions, we’re delivering products that enable the world to breathe easier, live greener, and go further than ever before.
With over 60 manufacturing facilities with a global workforce of over 9,000 of the industry’s most experienced talent, including insulation and filtration experts, Alkegen is uniquely positioned to help customers impact the environment in meaningful ways.
Alkegen offers a range of dynamic career opportunities with globe-spanning reach. From production operators to engineers, technicians to specialists, sales to leadership, we’re always looking for top talent ready to bring their best. Come grow with us!
Job Requirements:
We are looking to hire a talented Dynamics 365 F&O and CRM Developer. As a Dynamics 365 Developer, you will be responsible for designing, building, and configuring applications to meet business process and application requirements.
Responsibilities:
Manage the change control management process of future changes, releases, updates and enhancements of the D365 environments: Production, UAT and Development.
Work with internal and external partners to develop and deploy quality enhancements in accordance with industry best practices and company processes; solutions will include D365 modifications, reporting and integrations with legacy applications.
Experience with relational Databases, SQL and Data modelling.
Experience with Azure DevOps and an understanding of source control versioning and branching.
Identify continuous improvement opportunities for assigned systems and processes.
Assist in the supporting applications, features, functions, systems and in the configuration, updates, and upgrades to D365.
Coordinate and lead user acceptance tests with the business units and end users against business requirements.
Partner with internal and external support teams to resolve any D365 issues or bugs.
Provide end user guidance, documentation and assist users with day-to-day issues, problems, and questions.
Stay abreast of D365 enhancements, adapt quickly and self-learn.
Qualifications/ Experience:
B.A. or B.S. Degree in Computer Science, IS, IT or related field, or equivalent combination of education and work experience.
5 – 7 years of total IT experience.
4 years of experience with D365 F&O (formerly AX) development.
D365 CRM Experience
Experience and understanding of Microsoft Products – PowerApps, PowerAutomate.
Knowledge of Azure Infrastructure, capabilities, and cloud basics.
Works well in team setting and individually.
Strong communication and customer service skills.
If you are interested in being part of a world class IT team here at Alkegen then we would love to hear from you.
At Alkegen, we strive every day to help people – ALL PEOPLE – breathe easier, live greener and go further than ever before. We believe that diversity and inclusion is central to this mission and to our impact. Our diverse and inclusive culture drives our growth & innovation and we nurture it by actively embracing our differences and using our varied perspectives to solve the complex challenges facing our changing and diverse world.
Employment selection and related decisions are made without regard to sex, race, ethnicity, nation of origin, religion, color, gender identity and expression, age, disability, education, opinions, culture, languages spoken, veteran’s status, or any other protected class.
Show Less
Report",₹2L - ₹4L (Glassdoor Est.),Unknown,Company - Private,Manufacturing,Health Care Products Manufacturing,2021,Unknown / Non-Applicable
8,"Alkegen
3.4",Web Developer,Pune,"Job Requirements
Why work for us?
Alkegen brings together two of the world’s leading specialty materials companies to create one new, innovation-driven leader focused on battery technologies, filtration media, and specialty insulation and sealing materials. Through global reach and breakthrough inventions, we’re delivering products that enable the world to breathe easier, live greener, and go further than ever before.
With over 60 manufacturing facilities with a global workforce of over 9,000 of the industry’s most experienced talent, including insulation and filtration experts, Alkegen is uniquely positioned to help customers impact the environment in meaningful ways.
Alkegen offers a range of dynamic career opportunities with globe-spanning reach. From production operators to engineers, technicians to specialists, sales to leadership, we’re always looking for top talent ready to bring their best. Come grow with us!
Web Developer Responsibilities:
Design, implement and manage websites using WordPress
Support the Director of Global Marketing Communications and collaborate extensively with members of a marketing communication business unit team leaders
Manage front-end and back-end website development
Create WordPress plug-ins and themes
Create campaign landing pages linking to campaign automation tools and forms
Maintain well-documented, reusable, and transferrable code
Troubleshoot and resolve website problems
Stay abreast of new developments in software, trends, and practices
Interface with the Marcom Director and external agency teams designing and developing new comprehensive website property in 2022.
Integration Specialist Requirements:
Associate’s or Bachelor’s degree in communications, marketing or related area of study
1+ years of website development work in WordPress platform
Experience assisting with the planning, coordinating and executing of marketing initiatives
Successful candidate will have experience in creating and implementing new approaches to marketing strategy and will demonstrate a strong sense of urgency in solving problems, as well as a comfort in managing through ambiguity
Candidate will have a preference for a fast-paced and dynamic environment; a track record working effectively with cross-functional teams and prioritizing short- and longer-term strategic initiatives
Candidate will show a passion for digging in deep to identify specific needs and solutions
Additional requirements include: outstanding communication, oral and written, teamwork and interpersonal skills and a proficiency in Search Engine Optimization, and WordPress experience
If you are interested in being part of a world class IT team here at Alkegen then we would love to hear from you.
At Alkegen, we strive every day to help people – ALL PEOPLE – breathe easier, live greener and go further than ever before. We believe that diversity and inclusion is central to this mission and to our impact. Our diverse and inclusive culture drives our growth & innovation and we nurture it by actively embracing our differences and using our varied perspectives to solve the complex challenges facing our changing and diverse world.
Employment selection and related decisions are made without regard to sex, race, ethnicity, nation of origin, religion, color, gender identity and expression, age, disability, education, opinions, culture, languages spoken, veteran’s status, or any other protected class.
Show Less
Report",₹2L - ₹4L (Glassdoor Est.),Unknown,Company - Private,Manufacturing,Health Care Products Manufacturing,2021,Unknown / Non-Applicable
9,Lexyle Edtech LLP,Senior Software Engineer,Thiruvananthapuram,"We are looking for Senior Software Engineers ( 2 to 5 Years of experience) in Web and Mobile Technologies for our client, a Technopark-based IT Company having offices in Bangalore, Technopark Phase 3 and Phase 1.
Skills Required:
1. Experience in Web Technologies ( PHP/Python ), React Js, Node Js, Vue.Js, Angular Js, MySQL, Mongo DB ,Wordpress
OR
2. Experince in Developing Hybrid Mobile Applications using Flutter
Job Locations : Technopark Trivandrum / Bangalore ,Karnataka
Job Type: Full-time
Salary: ₹200,000.00 - ₹400,000.00 per year
Benefits:
Cell phone reimbursement
Commuter assistance
Flexible schedule
Health insurance
Life insurance
Paid sick time
Provident Fund
Schedule:
Day shift
Supplemental pay types:
Joining bonus
Performance bonus
Yearly bonus
Education:
Bachelor's (Preferred)
Experience:
Web Development or Flutter Development: 1 year (Preferred)
Application Deadline: 25/12/2022
Expected Start Date: 02/01/2023
Show Less
Report",₹2L - ₹4L (Glassdoor Est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
